Prolific ID,subjID,delay_sooner,amount_sooner,delay_later,amount_later,Resp=1 + Now,Resp=2 + Now,choice
5db6ff8c7f9e6b000dd24a19,102,0,11,5,25,FALSE,FALSE,1
5db6ff8c7f9e6b000dd24a19,102,0,11,11,30,FALSE,FALSE,1
5db6ff8c7f9e6b000dd24a19,102,0,12,38,30,FALSE,FALSE,1
5db6ff8c7f9e6b000dd24a19,102,0,12,76,35,FALSE,TRUE,0
5db6ff8c7f9e6b000dd24a19,102,0,16,113,25,TRUE,FALSE,0
5db6ff8c7f9e6b000dd24a19,102,0,16,70,25,TRUE,FALSE,0
5db6ff8c7f9e6b000dd24a19,102,0,18,67,30,TRUE,FALSE,0
5db6ff8c7f9e6b000dd24a19,102,0,19,20,25,FALSE,TRUE,0
5db6ff8c7f9e6b000dd24a19,102,0,21,171,30,FALSE,TRUE,0
5db6ff8c7f9e6b000dd24a19,102,0,25,4,35,FALSE,TRUE,0
5db6ff8c7f9e6b000dd24a19,102,0,30,3,35,FALSE,TRUE,0
5db6ff8c7f9e6b000dd24a19,102,0,32,59,35,TRUE,FALSE,0
5db6ff8c7f9e6b000dd24a19,102,0,30,42,35,TRUE,FALSE,0
5db6ff8c7f9e6b000dd24a19,102,0,15,158,30,FALSE,TRUE,0
5db6ff8c7f9e6b000dd24a19,102,0,31,129,35,TRUE,FALSE,0
5db6ff8c7f9e6b000dd24a19,102,0,13,27,35,TRUE,FALSE,0
5db6ff8c7f9e6b000dd24a19,102,0,17,9,25,FALSE,TRUE,0
5d017f2466581d001a9059dc,103,0,11,5,25,FALSE,FALSE,1
5d017f2466581d001a9059dc,103,0,11,11,30,FALSE,FALSE,1
5d017f2466581d001a9059dc,103,0,12,38,30,FALSE,FALSE,1
5d017f2466581d001a9059dc,103,0,12,76,35,FALSE,TRUE,0
5d017f2466581d001a9059dc,103,0,16,113,25,TRUE,FALSE,0
5d017f2466581d001a9059dc,103,0,16,70,25,FALSE,FALSE,1
5d017f2466581d001a9059dc,103,0,18,67,30,FALSE,FALSE,1
5d017f2466581d001a9059dc,103,0,19,20,25,FALSE,FALSE,1
5d017f2466581d001a9059dc,103,0,21,171,30,FALSE,TRUE,0
5d017f2466581d001a9059dc,103,0,25,4,35,FALSE,FALSE,1
5d017f2466581d001a9059dc,103,0,30,3,35,FALSE,FALSE,1
5d017f2466581d001a9059dc,103,0,32,59,35,TRUE,FALSE,0
5d017f2466581d001a9059dc,103,0,30,42,35,TRUE,FALSE,0
5d017f2466581d001a9059dc,103,0,15,158,30,FALSE,TRUE,0
5d017f2466581d001a9059dc,103,0,31,129,35,TRUE,FALSE,0
5d017f2466581d001a9059dc,103,0,13,27,35,TRUE,FALSE,0
5d017f2466581d001a9059dc,103,0,17,9,25,FALSE,FALSE,1
5d91a9eb19993e0019a9f77e,104,0,11,5,25,FALSE,FALSE,1
5d91a9eb19993e0019a9f77e,104,0,11,11,30,FALSE,FALSE,1
5d91a9eb19993e0019a9f77e,104,0,12,38,30,TRUE,FALSE,0
5d91a9eb19993e0019a9f77e,104,0,12,76,35,FALSE,TRUE,0
5d91a9eb19993e0019a9f77e,104,0,16,113,25,TRUE,FALSE,0
5d91a9eb19993e0019a9f77e,104,0,16,70,25,FALSE,FALSE,1
5d91a9eb19993e0019a9f77e,104,0,18,67,30,FALSE,FALSE,1
5d91a9eb19993e0019a9f77e,104,0,19,20,25,FALSE,FALSE,1
5d91a9eb19993e0019a9f77e,104,0,21,171,30,FALSE,FALSE,1
5d91a9eb19993e0019a9f77e,104,0,25,4,35,FALSE,FALSE,1
5d91a9eb19993e0019a9f77e,104,0,30,3,35,FALSE,FALSE,1
5d91a9eb19993e0019a9f77e,104,0,32,59,35,TRUE,FALSE,0
5d91a9eb19993e0019a9f77e,104,0,30,42,35,TRUE,FALSE,0
5d91a9eb19993e0019a9f77e,104,0,15,158,30,FALSE,FALSE,1
5d91a9eb19993e0019a9f77e,104,0,31,129,35,FALSE,FALSE,1
5d91a9eb19993e0019a9f77e,104,0,13,27,35,FALSE,FALSE,1
5d91a9eb19993e0019a9f77e,104,0,17,9,25,FALSE,FALSE,1
5d634b27e5f92f0017196a3f,105,0,11,5,25,FALSE,FALSE,1
5d634b27e5f92f0017196a3f,105,0,11,11,30,FALSE,FALSE,1
5d634b27e5f92f0017196a3f,105,0,12,38,30,FALSE,FALSE,1
5d634b27e5f92f0017196a3f,105,0,12,76,35,FALSE,FALSE,1
5d634b27e5f92f0017196a3f,105,0,16,113,25,TRUE,FALSE,0
5d634b27e5f92f0017196a3f,105,0,16,70,25,TRUE,FALSE,0
5d634b27e5f92f0017196a3f,105,0,18,67,30,FALSE,FALSE,1
5d634b27e5f92f0017196a3f,105,0,19,20,25,FALSE,FALSE,1
5d634b27e5f92f0017196a3f,105,0,21,171,30,FALSE,TRUE,0
5d634b27e5f92f0017196a3f,105,0,25,4,35,FALSE,FALSE,1
5d634b27e5f92f0017196a3f,105,0,30,3,35,FALSE,FALSE,1
5d634b27e5f92f0017196a3f,105,0,32,59,35,TRUE,FALSE,0
5d634b27e5f92f0017196a3f,105,0,30,42,35,TRUE,FALSE,0
5d634b27e5f92f0017196a3f,105,0,15,158,30,FALSE,TRUE,0
5d634b27e5f92f0017196a3f,105,0,31,129,35,TRUE,FALSE,0
5d634b27e5f92f0017196a3f,105,0,13,27,35,FALSE,FALSE,1
5d634b27e5f92f0017196a3f,105,0,17,9,25,FALSE,FALSE,1
5dbbb58c03a8561923e97d90,106,0,11,5,25,FALSE,FALSE,1
5dbbb58c03a8561923e97d90,106,0,11,11,30,FALSE,FALSE,1
5dbbb58c03a8561923e97d90,106,0,12,38,30,FALSE,FALSE,1
5dbbb58c03a8561923e97d90,106,0,12,76,35,FALSE,FALSE,1
5dbbb58c03a8561923e97d90,106,0,16,113,25,TRUE,FALSE,0
5dbbb58c03a8561923e97d90,106,0,16,70,25,TRUE,FALSE,0
5dbbb58c03a8561923e97d90,106,0,18,67,30,TRUE,FALSE,0
5dbbb58c03a8561923e97d90,106,0,19,20,25,FALSE,TRUE,0
5dbbb58c03a8561923e97d90,106,0,21,171,30,FALSE,TRUE,0
5dbbb58c03a8561923e97d90,106,0,25,4,35,FALSE,FALSE,1
5dbbb58c03a8561923e97d90,106,0,30,3,35,FALSE,FALSE,1
5dbbb58c03a8561923e97d90,106,0,32,59,35,TRUE,FALSE,0
5dbbb58c03a8561923e97d90,106,0,30,42,35,TRUE,FALSE,0
5dbbb58c03a8561923e97d90,106,0,15,158,30,FALSE,TRUE,0
5dbbb58c03a8561923e97d90,106,0,31,129,35,TRUE,FALSE,0
5dbbb58c03a8561923e97d90,106,0,13,27,35,FALSE,FALSE,1
5dbbb58c03a8561923e97d90,106,0,17,9,25,FALSE,FALSE,1
5bcb6b6d0f10750001d79240,107,0,11,5,25,FALSE,FALSE,1
5bcb6b6d0f10750001d79240,107,0,11,11,30,FALSE,FALSE,1
5bcb6b6d0f10750001d79240,107,0,12,38,30,FALSE,FALSE,1
5bcb6b6d0f10750001d79240,107,0,12,76,35,FALSE,FALSE,1
5bcb6b6d0f10750001d79240,107,0,16,113,25,FALSE,FALSE,1
5bcb6b6d0f10750001d79240,107,0,16,70,25,FALSE,FALSE,1
5bcb6b6d0f10750001d79240,107,0,18,67,30,FALSE,FALSE,1
5bcb6b6d0f10750001d79240,107,0,19,20,25,FALSE,FALSE,1
5bcb6b6d0f10750001d79240,107,0,21,171,30,FALSE,TRUE,0
5bcb6b6d0f10750001d79240,107,0,25,4,35,FALSE,FALSE,1
5bcb6b6d0f10750001d79240,107,0,30,3,35,FALSE,FALSE,1
5bcb6b6d0f10750001d79240,107,0,32,59,35,TRUE,FALSE,0
5bcb6b6d0f10750001d79240,107,0,30,42,35,FALSE,FALSE,1
5bcb6b6d0f10750001d79240,107,0,15,158,30,FALSE,FALSE,1
5bcb6b6d0f10750001d79240,107,0,31,129,35,TRUE,FALSE,0
5bcb6b6d0f10750001d79240,107,0,13,27,35,FALSE,FALSE,1
5bcb6b6d0f10750001d79240,107,0,17,9,25,FALSE,FALSE,1
5b4ccba2e893120001247e9e,108,0,11,5,25,FALSE,FALSE,1
5b4ccba2e893120001247e9e,108,0,11,11,30,FALSE,FALSE,1
5b4ccba2e893120001247e9e,108,0,12,38,30,FALSE,FALSE,1
5b4ccba2e893120001247e9e,108,0,12,76,35,FALSE,TRUE,0
5b4ccba2e893120001247e9e,108,0,16,113,25,TRUE,FALSE,0
5b4ccba2e893120001247e9e,108,0,16,70,25,TRUE,FALSE,0
5b4ccba2e893120001247e9e,108,0,18,67,30,TRUE,FALSE,0
5b4ccba2e893120001247e9e,108,0,19,20,25,FALSE,TRUE,0
5b4ccba2e893120001247e9e,108,0,21,171,30,FALSE,TRUE,0
5b4ccba2e893120001247e9e,108,0,25,4,35,FALSE,FALSE,1
5b4ccba2e893120001247e9e,108,0,30,3,35,FALSE,FALSE,1
5b4ccba2e893120001247e9e,108,0,32,59,35,TRUE,FALSE,0
5b4ccba2e893120001247e9e,108,0,30,42,35,TRUE,FALSE,0
5b4ccba2e893120001247e9e,108,0,15,158,30,FALSE,TRUE,0
5b4ccba2e893120001247e9e,108,0,31,129,35,TRUE,FALSE,0
5b4ccba2e893120001247e9e,108,0,13,27,35,FALSE,FALSE,1
5b4ccba2e893120001247e9e,108,0,17,9,25,FALSE,FALSE,1
5d8d12f6d88e3a00142c9751,109,0,11,5,25,FALSE,TRUE,0
5d8d12f6d88e3a00142c9751,109,0,11,11,30,FALSE,TRUE,0
5d8d12f6d88e3a00142c9751,109,0,12,38,30,TRUE,FALSE,0
5d8d12f6d88e3a00142c9751,109,0,12,76,35,FALSE,TRUE,0
5d8d12f6d88e3a00142c9751,109,0,16,113,25,TRUE,FALSE,0
5d8d12f6d88e3a00142c9751,109,0,16,70,25,TRUE,FALSE,0
5d8d12f6d88e3a00142c9751,109,0,18,67,30,TRUE,FALSE,0
5d8d12f6d88e3a00142c9751,109,0,19,20,25,FALSE,TRUE,0
5d8d12f6d88e3a00142c9751,109,0,21,171,30,FALSE,TRUE,0
5d8d12f6d88e3a00142c9751,109,0,25,4,35,FALSE,TRUE,0
5d8d12f6d88e3a00142c9751,109,0,30,3,35,FALSE,TRUE,0
5d8d12f6d88e3a00142c9751,109,0,32,59,35,TRUE,FALSE,0
5d8d12f6d88e3a00142c9751,109,0,30,42,35,TRUE,FALSE,0
