Sub,Session,Race,Sex,Age,Immed,Delay,Time,response,rt,resp_final
108,1,3,1,24,11,25,5,2,1.384,1
108,1,3,1,24,11,30,11,2,1.594,1
108,1,3,1,24,12,30,38,1,1.627,1
108,1,3,1,24,12,35,76,1,1.145,0
108,1,3,1,24,16,25,113,2,1.113,0
108,1,3,1,24,16,25,70,2,1.897,0
108,1,3,1,24,18,30,67,2,2.045,0
108,1,3,1,24,19,25,20,2,3.096,1
108,1,3,1,24,21,30,171,1,1.911,0
108,1,3,1,24,25,35,4,2,1.595,1
108,1,3,1,24,30,35,3,2,1.462,1
108,1,3,1,24,32,35,59,2,1.528,0
108,1,3,1,24,30,35,42,2,1.328,0
108,1,3,1,24,15,30,158,1,1.446,0
108,1,3,1,24,31,35,129,2,1.211,0
108,1,3,1,24,13,35,27,1,1.58,1
108,1,3,1,24,17,25,9,2,1.728,1
