Sub,Session,Race,Sex,Age,Immed,Delay,Time,response,rt,resp_final
116,0,1,2,23,11,25,5,2,1.322,1
116,0,1,2,23,11,30,11,2,1.351,1
116,0,1,2,23,12,30,38,1,3.264,1
116,0,1,2,23,12,35,76,1,2.101,0
116,0,1,2,23,16,25,113,2,1.717,0
116,0,1,2,23,16,25,70,2,2.833,0
116,0,1,2,23,18,30,67,2,1.766,0
116,0,1,2,23,19,25,20,2,1.432,1
116,0,1,2,23,21,30,171,1,1.933,0
116,0,1,2,23,25,35,4,2,1.784,1
116,0,1,2,23,30,35,3,2,1.518,1
116,0,1,2,23,32,35,59,2,1.92,0
116,0,1,2,23,30,35,42,2,2.385,0
116,0,1,2,23,15,30,158,1,1.972,0
116,0,1,2,23,31,35,129,2,1.784,0
116,0,1,2,23,13,35,27,1,2.885,1
116,0,1,2,23,17,25,9,2,1.27,1
