Sub,Session,Race,Sex,Age,Immed,Delay,Time,response,rt,resp_final
126,0,2,1,35,11,25,5,1,1.639,0
126,0,2,1,35,11,30,11,1,1.823,0
126,0,2,1,35,12,30,38,2,1.907,0
126,0,2,1,35,12,35,76,1,1.222,0
126,0,2,1,35,16,25,113,2,1.719,0
126,0,2,1,35,16,25,70,2,1.426,0
126,0,2,1,35,18,30,67,2,1.324,0
126,0,2,1,35,19,25,20,1,1.358,0
126,0,2,1,35,21,30,171,1,1.109,0
126,0,2,1,35,25,35,4,1,1.326,0
126,0,2,1,35,30,35,3,1,1.003,0
126,0,2,1,35,32,35,59,2,1.34,0
126,0,2,1,35,30,35,42,2,1.224,0
126,0,2,1,35,15,30,158,1,1.541,0
126,0,2,1,35,31,35,129,2,0.84,0
126,0,2,1,35,13,35,27,2,1.39,0
126,0,2,1,35,17,25,9,1,1.508,0
