Sub,Session,Race,Sex,Age,Immed,Delay,Time,response,rt,resp_final
103,0,1,2,28,11,25,5,2,2.664,1
103,0,1,2,28,11,30,11,2,3.357,1
103,0,1,2,28,12,30,38,,,
103,0,1,2,28,12,35,76,1,1.693,0
103,0,1,2,28,16,25,113,2,1.806,0
103,0,1,2,28,16,25,70,1,2.06,1
103,0,1,2,28,18,30,67,1,1.641,1
103,0,1,2,28,19,25,20,2,1.74,1
103,0,1,2,28,21,30,171,1,1.908,0
103,0,1,2,28,25,35,4,2,1.757,1
103,0,1,2,28,30,35,3,2,2.076,1
103,0,1,2,28,32,35,59,2,1.974,0
103,0,1,2,28,30,35,42,2,3.357,0
103,0,1,2,28,15,30,158,1,1.576,0
103,0,1,2,28,31,35,129,2,2.142,0
103,0,1,2,28,13,35,27,2,1.725,0
103,0,1,2,28,17,25,9,2,1.909,1
