Sub,Session,Race,Sex,Age,Immed,Delay,Time,response,rt,resp_final
117,0,1,1,22,11,25,5,2,2.723,1
117,0,1,1,22,11,30,11,2,2.826,1
117,0,1,1,22,12,30,38,,,0
117,0,1,1,22,12,35,76,1,2.958,0
117,0,1,1,22,16,25,113,2,2.425,0
117,0,1,1,22,16,25,70,2,2.525,0
117,0,1,1,22,18,30,67,2,2.826,0
117,0,1,1,22,19,25,20,1,1.926,0
117,0,1,1,22,21,30,171,1,2.608,0
117,0,1,1,22,25,35,4,1,2.623,0
117,0,1,1,22,30,35,3,2,2.025,1
117,0,1,1,22,32,35,59,2,2.558,0
117,0,1,1,22,30,35,42,2,2.742,0
117,0,1,1,22,15,30,158,1,2.942,0
117,0,1,1,22,31,35,129,2,2.159,0
117,0,1,1,22,13,35,27,1,2.625,1
117,0,1,1,22,17,25,9,2,2.19,1
