Sub,Session,Race,Sex,Age,Immed,Delay,Time,response,rt,resp_final
127,0,1,1,32,11,25,5,2,1.614,1
127,0,1,1,32,11,30,11,2,2.727,1
127,0,1,1,32,12,30,38,1,4.485,1
127,0,1,1,32,12,35,76,1,4.249,0
127,0,1,1,32,16,25,113,2,1.673,0
127,0,1,1,32,16,25,70,2,1.743,0
127,0,1,1,32,18,30,67,,,0
127,0,1,1,32,19,25,20,2,2.78,1
127,0,1,1,32,21,30,171,1,1.928,0
127,0,1,1,32,25,35,4,2,1.758,1
127,0,1,1,32,30,35,3,2,1.643,1
127,0,1,1,32,32,35,59,2,2.761,0
127,0,1,1,32,30,35,42,2,2.363,0
127,0,1,1,32,15,30,158,1,1.443,0
127,0,1,1,32,31,35,129,2,1.543,0
127,0,1,1,32,13,35,27,1,1.845,1
127,0,1,1,32,17,25,9,2,2.076,1
