Sub,Session,Race,Sex,Age,Immed,Delay,Time,response,rt,resp_final
116,1,1,2,23,11,25,5,2,1.672,1
116,1,1,2,23,11,30,11,2,1.093,1
116,1,1,2,23,12,30,38,1,2.41,1
116,1,1,2,23,12,35,76,1,2.227,0
116,1,1,2,23,16,25,113,2,1.378,0
116,1,1,2,23,16,25,70,2,1.194,0
116,1,1,2,23,18,30,67,2,2.26,0
116,1,1,2,23,19,25,20,1,2.092,0
116,1,1,2,23,21,30,171,1,1.694,0
116,1,1,2,23,25,35,4,1,1.06,0
116,1,1,2,23,30,35,3,2,2.394,1
116,1,1,2,23,32,35,59,2,2.643,0
116,1,1,2,23,30,35,42,2,1.628,0
116,1,1,2,23,15,30,158,1,1.51,0
116,1,1,2,23,31,35,129,2,1.278,0
116,1,1,2,23,13,35,27,1,1.761,1
116,1,1,2,23,17,25,9,2,0.977,1
