Sub,Session,Race,Sex,Age,Immed,Delay,Time,response,rt,resp_final,
119,0,2,1,31,11,25,5,2,1.936,2,1.936
119,0,2,1,31,11,30,11,2,3.785,2,3.785
119,0,2,1,31,12,30,38,2,3.321,2,3.321
119,0,2,1,31,12,35,76,1,2.673,1,2.673
119,0,2,1,31,16,25,113,2,2.311,2,2.311
119,0,2,1,31,16,25,70,2,2.334,2,2.334
119,0,2,1,31,18,30,67,2,1.825,2,1.825
119,0,2,1,31,19,25,20,1,2.047,1,2.047
119,0,2,1,31,21,30,171,1,2.214,1,2.214
119,0,2,1,31,25,35,4,1,2.934,2,2.934
119,0,2,1,31,30,35,3,1,1.662,2,1.662
119,0,2,1,31,32,35,59,2,1.573,2,1.573
119,0,2,1,31,30,35,42,2,1.343,2,1.343
119,0,2,1,31,15,30,158,1,0.882,1,0.882
119,0,2,1,31,31,35,129,2,1.618,2,1.618
119,0,2,1,31,13,35,27,2,2.18,2,2.18
119,0,2,1,31,17,25,9,1,2.551,1,2.551
