Sub,Session,Race,Sex,Age,Immed,Delay,Time,response,rt,resp_final
128,0,1,1,26,11,25,5,2,1.957,1
128,0,1,1,26,11,30,11,2,2.076,1
128,0,1,1,26,12,30,38,1,3.309,1
128,0,1,1,26,12,35,76,2,1.975,0
128,0,1,1,26,16,25,113,2,2.443,0
128,0,1,1,26,16,25,70,2,2.059,0
128,0,1,1,26,18,30,67,2,3.961,0
128,0,1,1,26,19,25,20,2,2.226,1
128,0,1,1,26,21,30,171,1,2.376,0
128,0,1,1,26,25,35,4,2,1.859,1
128,0,1,1,26,30,35,3,2,1.51,1
128,0,1,1,26,32,35,59,2,2.827,0
128,0,1,1,26,30,35,42,2,2.36,0
128,0,1,1,26,15,30,158,1,2.276,0
128,0,1,1,26,31,35,129,2,1.643,0
128,0,1,1,26,13,35,27,1,2.81,1
128,0,1,1,26,17,25,9,2,3.86,1
