Sub,Session,Race,Sex,Age,Immed,Delay,Time,response,rt,resp_final
125,1,1,1,25,11,25,5,2,1.151,1
125,1,1,1,25,11,30,11,2,1.312,1
125,1,1,1,25,12,30,38,1,1.091,1
125,1,1,1,25,12,35,76,2,1.284,0
125,1,1,1,25,16,25,113,1,1.205,0
125,1,1,1,25,16,25,70,1,0.93,0
125,1,1,1,25,18,30,67,1,1.147,0
125,1,1,1,25,19,25,20,2,1.168,1
125,1,1,1,25,21,30,171,2,1.212,0
125,1,1,1,25,25,35,4,2,1.164,1
125,1,1,1,25,30,35,3,2,1.114,1
125,1,1,1,25,32,35,59,1,1.27,0
125,1,1,1,25,30,35,42,1,1.138,0
125,1,1,1,25,15,30,158,2,1.373,0
125,1,1,1,25,31,35,129,1,1.144,0
125,1,1,1,25,13,35,27,1,1.111,1
125,1,1,1,25,17,25,9,2,1.307,1
