Sub,Session,Race,Sex,Age,Immed,Delay,Time,response,rt,resp_final
101,0,3,2,27,11,25,5,2,1.579,1
101,0,3,2,27,11,30,11,2,1.505,1
101,0,3,2,27,12,30,38,1,1.227,1
101,0,3,2,27,12,35,76,2,2.579,1
101,0,3,2,27,16,25,113,1,1.18,1
101,0,3,2,27,16,25,70,1,1.341,1
101,0,3,2,27,18,30,67,1,1.156,1
101,0,3,2,27,19,25,20,2,0.967,1
101,0,3,2,27,21,30,171,2,0.943,1
101,0,3,2,27,25,35,4,2,1.033,1
101,0,3,2,27,30,35,3,2,1.241,1
101,0,3,2,27,32,35,59,1,1.25,1
101,0,3,2,27,30,35,42,1,1.307,1
101,0,3,2,27,15,30,158,2,1.204,1
101,0,3,2,27,31,35,129,1,1.231,1
101,0,3,2,27,13,35,27,1,1.111,1
101,0,3,2,27,17,25,9,2,1.022,1
