Sub,Session,Race,Sex,Age,Immed,Delay,Time,response,rt,resp_final
121,1,1,1,33,11,25,5,2,1.636,1
121,1,1,1,33,11,30,11,2,1.574,1
121,1,1,1,33,12,30,38,1,2.271,1
121,1,1,1,33,12,35,76,1,2.358,0
121,1,1,1,33,16,25,113,2,1.542,0
121,1,1,1,33,16,25,70,2,2.474,0
121,1,1,1,33,18,30,67,2,2.26,0
121,1,1,1,33,19,25,20,1,2.724,0
121,1,1,1,33,21,30,171,1,2.226,0
121,1,1,1,33,25,35,4,2,1.476,1
121,1,1,1,33,30,35,3,2,2.125,1
121,1,1,1,33,32,35,59,2,2.09,0
121,1,1,1,33,30,35,42,2,2.444,0
121,1,1,1,33,15,30,158,1,2.257,0
121,1,1,1,33,31,35,129,2,2.06,0
121,1,1,1,33,13,35,27,1,3.74,1
121,1,1,1,33,17,25,9,2,2.693,1
