Sub,Session,Race,Sex,Age,Immed,Delay,Time,response,rt,resp_final
114,1,3,1,29,11,25,5,2,1.542,1
114,1,3,1,29,11,30,11,2,1.021,1
114,1,3,1,29,12,30,38,1,1.025,1
114,1,3,1,29,12,35,76,2,1.069,1
114,1,3,1,29,16,25,113,1,1.203,1
114,1,3,1,29,16,25,70,1,1.302,1
114,1,3,1,29,18,30,67,1,1.137,1
114,1,3,1,29,19,25,20,2,1.519,1
114,1,3,1,29,21,30,171,2,1.702,1
114,1,3,1,29,25,35,4,2,2.204,1
114,1,3,1,29,30,35,3,2,1.355,1
114,1,3,1,29,32,35,59,1,2.488,1
114,1,3,1,29,30,35,42,1,1.602,1
114,1,3,1,29,15,30,158,2,2.235,1
114,1,3,1,29,31,35,129,1,1.186,1
114,1,3,1,29,13,35,27,1,2.438,1
114,1,3,1,29,17,25,9,2,0.885,1
