Sub,Session,Race,Sex,Age,Immed,Delay,Time,response,rt,resp_final
114,0,3,1,29,11,25,5,,,
114,0,3,1,29,11,30,11,2,1.636,1
114,0,3,1,29,12,30,38,1,2.005,1
114,0,3,1,29,12,35,76,2,2.923,1
114,0,3,1,29,16,25,113,1,1.887,1
114,0,3,1,29,16,25,70,1,1.5,1
114,0,3,1,29,18,30,67,1,1.058,1
114,0,3,1,29,19,25,20,2,1.288,1
114,0,3,1,29,21,30,171,2,0.903,1
114,0,3,1,29,25,35,4,2,1.087,1
114,0,3,1,29,30,35,3,2,1.003,1
114,0,3,1,29,32,35,59,1,1.005,1
114,0,3,1,29,30,35,42,1,2.536,1
114,0,3,1,29,15,30,158,2,1.139,1
114,0,3,1,29,31,35,129,1,1.103,1
114,0,3,1,29,13,35,27,1,1.235,1
114,0,3,1,29,17,25,9,2,1.036,1
