Sub,Session,Race,Sex,Age,Immed,Delay,Time,response,rt,resp_final
103,1,1,2,28,11,25,5,2,1.354,1
103,1,1,2,28,11,30,11,2,1.607,1
103,1,1,2,28,12,30,38,1,2.207,1
103,1,1,2,28,12,35,76,1,1.773,0
103,1,1,2,28,16,25,113,2,1.66,0
103,1,1,2,28,16,25,70,2,2.341,0
103,1,1,2,28,18,30,67,2,1.81,0
103,1,1,2,28,19,25,20,2,1.607,1
103,1,1,2,28,21,30,171,1,1.073,0
103,1,1,2,28,25,35,4,1,1.19,0
103,1,1,2,28,30,35,3,2,1.441,1
103,1,1,2,28,32,35,59,2,1.308,0
103,1,1,2,28,30,35,42,2,1.524,0
103,1,1,2,28,15,30,158,1,1.677,0
103,1,1,2,28,31,35,129,2,1.291,0
103,1,1,2,28,13,35,27,2,1.991,0
103,1,1,2,28,17,25,9,2,1.407,1
