Sub,Session,Race,Sex,Age,Immed,Delay,Time,response,rt,resp_final
125,0,1,1,25,11,25,5,2,1.726,1
125,0,1,1,25,11,30,11,2,1.75,1
125,0,1,1,25,12,30,38,1,2.484,1
125,0,1,1,25,12,35,76,2,2.46,0
125,0,1,1,25,16,25,113,1,2.381,0
125,0,1,1,25,16,25,70,1,1.912,0
125,0,1,1,25,18,30,67,1,1.774,0
125,0,1,1,25,19,25,20,2,2.097,1
125,0,1,1,25,21,30,171,2,1.533,0
125,0,1,1,25,25,35,4,2,1.468,1
125,0,1,1,25,30,35,3,2,1.274,1
125,0,1,1,25,32,35,59,1,1.759,0
125,0,1,1,25,30,35,42,1,1.697,0
125,0,1,1,25,15,30,158,2,1.711,0
125,0,1,1,25,31,35,129,1,1.603,0
125,0,1,1,25,13,35,27,1,1.213,1
125,0,1,1,25,17,25,9,2,1.132,1
