Sub,Session,Race,Sex,Age,Immed,Delay,Time,response,rt,resp_final
129,0,2,2,29,11,25,5,2,1.807,1
129,0,2,2,29,11,30,11,2,2.27,1
129,0,2,2,29,12,30,38,2,2.404,0
129,0,2,2,29,12,35,76,1,2.804,0
129,0,2,2,29,16,25,113,2,2.587,0
129,0,2,2,29,16,25,70,2,2.836,0
129,0,2,2,29,18,30,67,2,1.87,0
129,0,2,2,29,19,25,20,2,2.436,1
129,0,2,2,29,21,30,171,1,2.276,0
129,0,2,2,29,25,35,4,2,1.689,1
129,0,2,2,29,30,35,3,2,1.923,1
129,0,2,2,29,32,35,59,2,1.672,0
129,0,2,2,29,30,35,42,2,1.339,0
129,0,2,2,29,15,30,158,1,1.14,0
129,0,2,2,29,31,35,129,2,1.255,0
129,0,2,2,29,13,35,27,1,1.272,1
129,0,2,2,29,17,25,9,2,0.521,1
