Sub,Session,Race,Sex,Age,Immed,Delay,Time,response,rt,resp_final
110,0,1,1,21,11,25,5,2,1.607,1
110,0,1,1,21,11,30,11,2,0.948,1
110,0,1,1,21,12,30,38,1,1.616,1
110,0,1,1,21,12,35,76,2,1.648,1
110,0,1,1,21,16,25,113,1,2.802,1
110,0,1,1,21,16,25,70,1,2.994,1
110,0,1,1,21,18,30,67,1,3.234,1
110,0,1,1,21,19,25,20,2,2.017,1
110,0,1,1,21,21,30,171,2,1.629,1
110,0,1,1,21,25,35,4,2,1.995,1
110,0,1,1,21,30,35,3,2,2.716,1
110,0,1,1,21,32,35,59,1,4.735,1
110,0,1,1,21,30,35,42,1,3.119,1
110,0,1,1,21,15,30,158,2,2.341,1
110,0,1,1,21,31,35,129,1,2.282,1
110,0,1,1,21,13,35,27,1,2.713,1
110,0,1,1,21,17,25,9,2,1.846,1
