Sub,Session,Race,Sex,Age,Immed,Delay,Time,response,rt,resp_final
117,1,1,1,22,11,25,5,2,1.99,1
117,1,1,1,22,11,30,11,2,1.975,1
117,1,1,1,22,12,30,38,2,2.957,0
117,1,1,1,22,12,35,76,2,2.725,0
117,1,1,1,22,16,25,113,2,1.99,0
117,1,1,1,22,16,25,70,2,1.975,0
117,1,1,1,22,18,30,67,2,2.908,0
117,1,1,1,22,19,25,20,1,1.542,0
117,1,1,1,22,21,30,171,1,1.693,0
117,1,1,1,22,25,35,4,2,2.576,1
117,1,1,1,22,30,35,3,2,1.743,1
117,1,1,1,22,32,35,59,2,2.126,0
117,1,1,1,22,30,35,42,2,1.908,0
117,1,1,1,22,15,30,158,1,1.677,0
117,1,1,1,22,31,35,129,2,2.026,0
117,1,1,1,22,13,35,27,1,2.209,1
117,1,1,1,22,17,25,9,2,1.907,1
