Sub,Session,Race,Sex,Age,Immed,Delay,Time,response,rt,resp_final
130,1,1,1,23,11,25,5,2,1.025,1
130,1,1,1,23,11,30,11,2,1.072,1
130,1,1,1,23,12,30,38,1,0.893,1
130,1,1,1,23,12,35,76,2,0.627,0
130,1,1,1,23,16,25,113,1,0.728,0
130,1,1,1,23,16,25,70,1,1.728,0
130,1,1,1,23,18,30,67,1,1.477,0
130,1,1,1,23,19,25,20,2,0.695,1
130,1,1,1,23,21,30,171,1,2.259,0
130,1,1,1,23,25,35,4,2,1.228,1
130,1,1,1,23,30,35,3,2,1.277,1
130,1,1,1,23,32,35,59,1,1.077,0
130,1,1,1,23,30,35,42,1,2.778,0
130,1,1,1,23,15,30,158,2,0.96,0
130,1,1,1,23,31,35,129,1,1.211,0
130,1,1,1,23,13,35,27,1,1.244,1
130,1,1,1,23,17,25,9,2,1.011,1
