Sub,Session,Race,Sex,Age,Immed,Delay,Time,response,rt,resp_final
118,1,1,1,28,11,25,5,2,1.929,1
118,1,1,1,28,11,30,11,2,1.835,1
118,1,1,1,28,12,30,38,2,1.623,0
118,1,1,1,28,12,35,76,1,1.222,0
118,1,1,1,28,16,25,113,2,1.462,0
118,1,1,1,28,16,25,70,2,1.278,0
118,1,1,1,28,18,30,67,2,0.961,0
118,1,1,1,28,19,25,20,1,1.367,0
118,1,1,1,28,21,30,171,1,1.438,0
118,1,1,1,28,25,35,4,1,0.97,0
118,1,1,1,28,30,35,3,1,1.627,0
118,1,1,1,28,32,35,59,2,1.404,0
118,1,1,1,28,30,35,42,2,1.041,0
118,1,1,1,28,15,30,158,1,1.23,0
118,1,1,1,28,31,35,129,2,1.126,0
118,1,1,1,28,13,35,27,2,1.111,0
118,1,1,1,28,17,25,9,1,1.226,0
