Sub,Session,Race,Sex,Age,Immed,Delay,Time,response,rt,resp_final
108,0,3,1,24,11,25,5,2,1.833,1
108,0,3,1,24,11,30,11,2,1.528,1
108,0,3,1,24,12,30,38,1,1.827,1
108,0,3,1,24,12,35,76,1,1.694,0
108,0,3,1,24,16,25,113,2,1.579,0
108,0,3,1,24,16,25,70,2,1.379,0
108,0,3,1,24,18,30,67,2,1.763,0
108,0,3,1,24,19,25,20,1,3.128,0
108,0,3,1,24,21,30,171,1,1.646,0
108,0,3,1,24,25,35,4,2,1.679,1
108,0,3,1,24,30,35,3,2,1.444,1
108,0,3,1,24,32,35,59,2,1.862,0
108,0,3,1,24,30,35,42,2,1.38,0
108,0,3,1,24,15,30,158,1,1.813,0
108,0,3,1,24,31,35,129,2,1.629,0
108,0,3,1,24,13,35,27,1,1.662,1
108,0,3,1,24,17,25,9,2,1.545,1
