Sub,Session,Race,Sex,Age,Immed,Delay,Time,response,rt,resp_final
129,1,2,2,29,11,25,5,2,1.868,1
129,1,2,2,29,11,30,11,2,1.87,1
129,1,2,2,29,12,30,38,1,3.471,1
129,1,2,2,29,12,35,76,1,1.655,0
129,1,2,2,29,16,25,113,2,2.288,0
129,1,2,2,29,16,25,70,2,2.054,0
129,1,2,2,29,18,30,67,2,2.503,0
129,1,2,2,29,19,25,20,2,3.005,1
129,1,2,2,29,21,30,171,1,2.089,0
129,1,2,2,29,25,35,4,2,2.151,1
129,1,2,2,29,30,35,3,2,1.672,1
129,1,2,2,29,32,35,59,2,1.537,0
129,1,2,2,29,30,35,42,2,1.812,0
129,1,2,2,29,15,30,158,1,1.655,0
129,1,2,2,29,31,35,129,2,1.689,0
129,1,2,2,29,13,35,27,2,2.106,0
129,1,2,2,29,17,25,9,2,1.406,1
