Sub,Session,Race,Sex,Age,Immed,Delay,Time,response,rt,resp_final
120,1,1,2,19,11,25,5,2,2.048,1
120,1,1,2,19,11,30,11,2,2.393,1
120,1,1,2,19,12,30,38,1,1.456,1
120,1,1,2,19,12,35,76,2,2.22,0
120,1,1,2,19,16,25,113,1,2.574,0
120,1,1,2,19,16,25,70,1,1.904,0
120,1,1,2,19,18,30,67,1,3.326,0
120,1,1,2,19,19,25,20,2,4.506,1
120,1,1,2,19,21,30,171,1,3.153,0
120,1,1,2,19,25,35,4,2,1.176,1
120,1,1,2,19,30,35,3,2,3.596,1
120,1,1,2,19,32,35,59,1,2.875,0
120,1,1,2,19,30,35,42,1,3.091,0
120,1,1,2,19,15,30,158,2,4.275,0
120,1,1,2,19,31,35,129,2,2.055,0
120,1,1,2,19,13,35,27,1,2.026,1
120,1,1,2,19,17,25,9,2,1.806,1
