Sub,Session,Race,Sex,Age,Immed,Delay,Time,response,rt,resp_final
127,1,1,1,32,11,25,5,2,1.228,1
127,1,1,1,32,11,30,11,2,1.325,1
127,1,1,1,32,12,30,38,1,1.693,1
127,1,1,1,32,12,35,76,1,2.996,0
127,1,1,1,32,16,25,113,2,1.86,0
127,1,1,1,32,16,25,70,2,3.212,0
127,1,1,1,32,18,30,67,,,0
127,1,1,1,32,19,25,20,2,1.359,1
127,1,1,1,32,21,30,171,1,1.593,0
127,1,1,1,32,25,35,4,2,2.498,1
127,1,1,1,32,30,35,3,2,1.643,1
127,1,1,1,32,32,35,59,2,3.232,0
127,1,1,1,32,30,35,42,2,3.198,0
127,1,1,1,32,15,30,158,1,1.91,0
127,1,1,1,32,31,35,129,2,2.213,0
127,1,1,1,32,13,35,27,1,2.863,1
127,1,1,1,32,17,25,9,2,1.96,1
