Sub,Session,Race,Sex,Age,Immed,Delay,Time,response,rt,resp_final
120,0,1,2,19,11,25,5,2,2.026,1
120,0,1,2,19,11,30,11,2,1.543,1
120,0,1,2,19,12,30,38,1,2.239,1
120,0,1,2,19,12,35,76,2,1.25,0
120,0,1,2,19,16,25,113,2,2.474,0
120,0,1,2,19,16,25,70,1,1.254,0
120,0,1,2,19,18,30,67,1,2.17,0
120,0,1,2,19,19,25,20,2,1.492,1
120,0,1,2,19,21,30,171,1,1.874,0
120,0,1,2,19,25,35,4,2,2.026,1
120,0,1,2,19,30,35,3,2,1.746,1
120,0,1,2,19,32,35,59,2,2.872,0
120,0,1,2,19,30,35,42,2,2.143,0
120,0,1,2,19,15,30,158,2,2.095,0
120,0,1,2,19,31,35,129,2,1.954,0
120,0,1,2,19,13,35,27,1,1.704,1
120,0,1,2,19,17,25,9,2,1.877,1
