Sub,Session,Race,Sex,Age,Immed,Delay,Time,response,rt,resp_final
124,1,3,1,29,11,25,5,2,1.633,1
124,1,3,1,29,11,30,11,2,0.937,1
124,1,3,1,29,12,30,38,1,3.692,1
124,1,3,1,29,12,35,76,2,1.146,0
124,1,3,1,29,16,25,113,2,1.632,0
124,1,3,1,29,16,25,70,1,2.072,0
124,1,3,1,29,18,30,67,1,1.598,0
124,1,3,1,29,19,25,20,2,2.465,1
124,1,3,1,29,21,30,171,,,0
124,1,3,1,29,25,35,4,,,0
124,1,3,1,29,30,35,3,2,1.757,1
124,1,3,1,29,32,35,59,1,1.469,0
124,1,3,1,29,30,35,42,1,1.371,0
124,1,3,1,29,15,30,158,2,1.848,0
124,1,3,1,29,31,35,129,,,0
124,1,3,1,29,13,35,27,1,3.571,1
124,1,3,1,29,17,25,9,2,2.297,1
