Sub,Session,Race,Sex,Age,Immed,Delay,Time,response,rt,resp_final
104,0,1,1,30,11,25,5,2,4.934,1
104,0,1,1,30,11,30,11,2,0.153,1
104,0,1,1,30,12,30,38,2,1.655,0
104,0,1,1,30,12,35,76,1,0.756,0
104,0,1,1,30,16,25,113,2,2.07,0
104,0,1,1,30,16,25,70,1,2.501,1
104,0,1,1,30,18,30,67,1,2.171,1
104,0,1,1,30,19,25,20,,,
104,0,1,1,30,21,30,171,,,
104,0,1,1,30,25,35,4,,,
104,0,1,1,30,30,35,3,,,
104,0,1,1,30,32,35,59,2,1.736,0
104,0,1,1,30,30,35,42,2,2.103,0
104,0,1,1,30,15,30,158,2,2.058,1
104,0,1,1,30,31,35,129,,,
104,0,1,1,30,13,35,27,1,0.81,1
104,0,1,1,30,17,25,9,2,3.924,1
