Sub,Session,Race,Sex,Age,Immed,Delay,Time,response,rt,resp_final,
119,0,2,1,31,11,25,5,2,2.897,2,2
119,0,2,1,31,11,30,11,2,2.266,2,2
119,0,2,1,31,12,30,38,2,2.222,2,2
119,0,2,1,31,12,35,76,1,1.011,1,1
119,0,2,1,31,16,25,113,2,1.812,2,2
119,0,2,1,31,16,25,70,2,1.082,2,2
119,0,2,1,31,18,30,67,2,1.528,2,2
119,0,2,1,31,19,25,20,1,1.595,1,1
119,0,2,1,31,21,30,171,1,1.081,1,1
119,0,2,1,31,25,35,4,1,1.685,2,2
119,0,2,1,31,30,35,3,1,1.027,2,2
119,0,2,1,31,32,35,59,2,1.573,2,2
119,0,2,1,31,30,35,42,2,1.476,2,2
119,0,2,1,31,15,30,158,1,2.315,1,1
119,0,2,1,31,31,35,129,2,1.117,2,2
119,0,2,1,31,13,35,27,2,1.219,2,2
119,0,2,1,31,17,25,9,1,1.599,1,1
