Sub,Session,Race,Sex,Age,Immed,Delay,Time,response,rt,resp_final
115,0,1,1,29,11,25,5,,,
115,0,1,1,29,11,30,11,1,4.201,0
115,0,1,1,29,12,30,38,2,1.301,0
115,0,1,1,29,12,35,76,1,1.742,0
115,0,1,1,29,16,25,113,2,1.882,0
115,0,1,1,29,16,25,70,2,3.301,0
115,0,1,1,29,18,30,67,2,1.62,0
115,0,1,1,29,19,25,20,1,2.699,0
115,0,1,1,29,21,30,171,1,1.887,0
115,0,1,1,29,25,35,4,1,1.329,0
115,0,1,1,29,30,35,3,1,1.57,0
115,0,1,1,29,32,35,59,,,
115,0,1,1,29,30,35,42,2,2.256,0
115,0,1,1,29,15,30,158,1,2.415,0
115,0,1,1,29,31,35,129,2,3.637,0
115,0,1,1,29,13,35,27,1,4.337,1
115,0,1,1,29,17,25,9,1,2.333,0
