Sub,Session,Race,Sex,Age,Immed,Delay,Time,response,rt,resp_final
122,0,1,2,35,11,25,5,2,1.431,1
122,0,1,2,35,11,30,11,2,1.228,1
122,0,1,2,35,12,30,38,1,1.36,1
122,0,1,2,35,12,35,76,2,1.194,0
122,0,1,2,35,16,25,113,1,2.463,0
122,0,1,2,35,16,25,70,1,1.995,0
122,0,1,2,35,18,30,67,1,1.528,0
122,0,1,2,35,19,25,20,2,1.595,1
122,0,1,2,35,21,30,171,1,2.146,0
122,0,1,2,35,25,35,4,2,1.495,1
122,0,1,2,35,30,35,3,2,1.261,1
122,0,1,2,35,32,35,59,2,2.412,0
122,0,1,2,35,30,35,42,2,2.83,0
122,0,1,2,35,15,30,158,1,2.647,0
122,0,1,2,35,31,35,129,2,1.896,0
122,0,1,2,35,13,35,27,1,2.013,1
122,0,1,2,35,17,25,9,2,1.478,1
