subnum,run,percentNow,percentDelayed,percentMissed,k,noise,LL,LL0,r2,percentPredicted
101,1,0.000000,100.000000,0.000000,0.000990,NaN,0.000000,-11.783502,1.000000,100.000000
101,2,0.000000,100.000000,0.000000,0.000990,NaN,0.000000,-11.783502,1.000000,100.000000
102,1,82.352941,17.647059,0.000000,0.113007,0.335824,-4.102343,-11.783502,0.651857,94.117647
102,2,76.470588,23.529412,0.000000,0.092181,0.141449,-7.803308,-11.783502,0.337777,70.588235
103,1,47.058824,47.058824,5.882353,0.021941,0.146907,-8.062846,-11.090355,0.272986,68.750000
103,2,64.705882,35.294118,0.000000,0.041828,0.204636,-6.889051,-11.783502,0.415365,76.470588
104,1,29.411765,41.176471,29.411765,0.015310,0.114267,-7.030247,-8.317766,0.154791,58.333333
104,2,64.705882,23.529412,11.764706,0.063068,0.150850,-6.749275,-10.397208,0.350857,66.666667
105,1,41.176471,47.058824,11.764706,0.011151,0.000000,-10.397208,-10.397208,-0.000000,46.666667
105,2,64.705882,29.411765,5.882353,0.038715,0.685142,-2.510309,-11.090355,0.773649,93.750000
106,1,52.941176,47.058824,0.000000,0.023147,28.810706,-0.000000,-11.783502,1.000000,100.000000
106,2,52.941176,47.058824,0.000000,0.023147,28.810706,-0.000000,-11.783502,1.000000,100.000000
107,1,17.647059,76.470588,5.882353,0.002641,400.788090,-0.000000,-11.090355,1.000000,100.000000
107,2,35.294118,64.705882,0.000000,0.006124,0.190654,-8.182831,-11.783502,0.305569,94.117647
108,1,58.823529,41.176471,0.000000,0.026922,60.500795,-0.000000,-11.783502,1.000000,100.000000
108,2,52.941176,47.058824,0.000000,0.022748,0.577887,-2.785840,-11.783502,0.763581,88.235294
109,1,100.000000,0.000000,0.000000,0.257091,NaN,0.000000,-11.783502,1.000000,100.000000
109,2,100.000000,0.000000,0.000000,0.257091,NaN,0.000000,-11.783502,1.000000,100.000000
110,1,0.000000,100.000000,0.000000,0.000990,NaN,0.000000,-11.783502,1.000000,100.000000
110,2,0.000000,82.352941,17.647059,0.000990,NaN,0.000000,-9.704061,1.000000,100.000000
111,1,52.941176,41.176471,5.882353,0.030210,1454.464367,-0.000000,-11.090355,1.000000,100.000000
111,2,52.941176,41.176471,5.882353,0.030210,1454.464367,-0.000000,-11.090355,1.000000,100.000000
112,1,64.705882,35.294118,0.000000,0.046074,0.276949,-5.580295,-11.783502,0.526432,88.235294
112,2,64.705882,35.294118,0.000000,0.046074,0.276949,-5.580295,-11.783502,0.526432,88.235294
113,1,0.000000,100.000000,0.000000,0.000990,NaN,0.000000,-11.783502,1.000000,100.000000
113,2,0.000000,100.000000,0.000000,0.000990,NaN,0.000000,-11.783502,1.000000,100.000000
114,1,0.000000,94.117647,5.882353,0.000990,NaN,0.000000,-11.090355,1.000000,100.000000
114,2,0.000000,100.000000,0.000000,0.000990,NaN,0.000000,-11.783502,1.000000,100.000000
115,1,82.352941,5.882353,11.764706,0.158595,0.284514,-3.516819,-10.397208,0.661754,93.333333
115,2,100.000000,0.000000,0.000000,0.257091,NaN,0.000000,-11.783502,1.000000,100.000000
116,1,52.941176,47.058824,0.000000,0.022748,0.577887,-2.785840,-11.783502,0.763581,88.235294
116,2,64.705882,35.294118,0.000000,0.035039,0.377156,-4.418048,-11.783502,0.625065,94.117647
