Sub,Session,Race,Sex,Age,Immed,Delay,Time,response,rt,resp_final
121,0,1,1,33,11,25,5,2,1.52,1
121,0,1,1,33,11,30,11,2,1.386,1
121,0,1,1,33,12,30,38,1,2.389,1
121,0,1,1,33,12,35,76,2,1.738,0
121,0,1,1,33,16,25,113,2,2.437,0
121,0,1,1,33,16,25,70,2,3.326,0
121,0,1,1,33,18,30,67,2,1.96,0
121,0,1,1,33,19,25,20,1,3.052,0
121,0,1,1,33,21,30,171,1,1.626,0
121,0,1,1,33,25,35,4,2,1.486,1
121,0,1,1,33,30,35,3,2,1.937,1
121,0,1,1,33,32,35,59,2,1.788,0
121,0,1,1,33,30,35,42,2,1.474,0
121,0,1,1,33,15,30,158,1,1.659,0
121,0,1,1,33,31,35,129,2,1.842,0
121,0,1,1,33,13,35,27,1,2.16,1
121,0,1,1,33,17,25,9,2,1.668,1
