spacebar.keys,spacebar.rt,responses.keys,responses.rt,Loop.thisRepN,Loop.thisTrialN,Loop.thisN,Loop.thisIndex,Loop.ran,Loop.order,Immed,Delay,Time,ITI,DecisionColor,ImmedMoney,TimeDays,DelayMoney,participant,session,date,expName,psychopyVersion,frameRate,key_resp_2.keys,key_resp_2.rt,slider1.response,slider1.rt,slideKeys.rt,slider2.response,slider2.rt,slideKeys2.rt,slider3.response,slider3.rt,slideKeys3.rt,slider4.response,slider4.rt,slideKeys4.rt,slider5.response,slider5.rt,slideKeys5.rt,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,questions.ran,questions.order
space,2.537,2,1.76,1,0,17,0,1,16,$11 ,$25 ,in 5 Days,6,red,11,5,25,,001,2019-08-04_16h25.12.949,ITC_SDRD_Builder,3.0.7,60,,,,,,,,,,,,,,,,,,,,,,,
,,1,0.408,1,0,17,1,1,16,$11 ,$30 ,in 11 Days,4,red,11,11,30,,001,2019-08-04_16h25.12.949,ITC_SDRD_Builder,3.0.7,60,,,,,,,,,,,,,,,,,,,,,,,
,,2,0.29,1,0,17,2,1,16,$12 ,$30 ,in 38 Days,4,red,12,38,30,,001,2019-08-04_16h25.12.949,ITC_SDRD_Builder,3.0.7,60,,,,,,,,,,,,,,,,,,,,,,,
,,1,0.279,1,0,17,3,1,16,$12 ,$35 ,in 76 Days,6,red,12,76,35,,001,2019-08-04_16h25.12.949,ITC_SDRD_Builder,3.0.7,60,,,,,,,,,,,,,,,,,,,,,,,
,,2,0.341,1,0,17,4,1,16,$16 ,$25 ,in 113 Days,5,red,16,113,25,,001,2019-08-04_16h25.12.949,ITC_SDRD_Builder,3.0.7,60,,,,,,,,,,,,,,,,,,,,,,,
,,1,0.318,1,0,17,5,1,16,$16 ,$25 ,in 70 Days,6,red,16,70,25,,001,2019-08-04_16h25.12.949,ITC_SDRD_Builder,3.0.7,60,,,,,,,,,,,,,,,,,,,,,,,
,,1,0.279,1,0,17,6,1,16,$18 ,$30 ,in 67 Days,4,red,18,67,30,,001,2019-08-04_16h25.12.949,ITC_SDRD_Builder,3.0.7,60,,,,,,,,,,,,,,,,,,,,,,,
,,2,0.32,1,0,17,7,1,16,$19 ,$25 ,in 20 Days,4,red,19,20,25,,001,2019-08-04_16h25.12.949,ITC_SDRD_Builder,3.0.7,60,,,,,,,,,,,,,,,,,,,,,,,
,,1,0.363,1,0,17,8,1,16,$21 ,$30 ,in 171 Days,4,red,21,171,30,,001,2019-08-04_16h25.12.949,ITC_SDRD_Builder,3.0.7,60,,,,,,,,,,,,,,,,,,,,,,,
,,2,0.322,1,0,17,9,1,16,$25 ,$35 ,in 4 Days,5,red,25,4,35,,001,2019-08-04_16h25.12.949,ITC_SDRD_Builder,3.0.7,60,,,,,,,,,,,,,,,,,,,,,,,
,,1,0.311,1,0,17,10,1,16,$30 ,$35 ,in 3 Days,4,red,30,3,35,,001,2019-08-04_16h25.12.949,ITC_SDRD_Builder,3.0.7,60,,,,,,,,,,,,,,,,,,,,,,,
,,2,0.61,1,0,17,11,1,16,$32 ,$35 ,in 59 Days,4,red,32,59,35,,001,2019-08-04_16h25.12.949,ITC_SDRD_Builder,3.0.7,60,,,,,,,,,,,,,,,,,,,,,,,
,,1,0.41,1,0,17,12,1,16,$30 ,$35 ,in 42 Days,5,red,30,42,35,,001,2019-08-04_16h25.12.949,ITC_SDRD_Builder,3.0.7,60,,,,,,,,,,,,,,,,,,,,,,,
,,2,0.415,1,0,17,13,1,16,$15 ,$30 ,in 158 Days,6,red,15,158,30,,001,2019-08-04_16h25.12.949,ITC_SDRD_Builder,3.0.7,60,,,,,,,,,,,,,,,,,,,,,,,
,,1,0.345,1,0,17,14,1,16,$31 ,$35 ,in 129 Days,4,red,31,129,35,,001,2019-08-04_16h25.12.949,ITC_SDRD_Builder,3.0.7,60,,,,,,,,,,,,,,,,,,,,,,,
,,2,0.461,1,0,17,15,1,16,$13 ,$35 ,in 27 Days,4,red,13,27,35,,001,2019-08-04_16h25.12.949,ITC_SDRD_Builder,3.0.7,60,,,,,,,,,,,,,,,,,,,,,,,
,,1,0.294,1,0,17,16,1,16,$17 ,$25 ,in 9 Days,4,red,17,9,25,,001,2019-08-04_16h25.12.949,ITC_SDRD_Builder,3.0.7,60,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,001,2019-08-04_16h25.12.949,ITC_SDRD_Builder,3.0.7,60,space,1.923,5,86.883,6.957,5,91.62,8.936,3,98.843,3.069,5,101.497,101.956,4,103.74,2.121,1,0,1,0,1,0
